Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22.0,2000,34,32,2881,32.0,0.0,0.020499999999999997,0.003,0.154,0.0,0.0,0.28792134831460675,0.0,0.0,0.0,0.2125,0.1956521739130435,0.755,0.17719135802469135,0.1867826086956522,0.175,0.16166666666666665,0.9,0.18714285714285714,0.22666666666666666,0.77,0.0765,0.113,0.452,0.006,0.059,0.052000000000000005,0.07533333333333332,0.025,0.098,0.1956521739130435,0.1638095238095238,0.265,0.08399999999999999,0.006,0.13525,0.0295,0.094,0.0,0.0,0.0,0.0,0.20384615384615384,0.15983333333333333,0.149,0.04091666666666667,0.19333333333333333,0.0455,0.24300000000000002,0.006,0.2125,0.044,0.044,0.05433333333333333,0.0875,0.02975,0.028,0.006,0.009,0.013000000000000001,0.006,0.0,0.008,0.016,0.0,0.0,0.0,0.0,0.0,0.10800000000000001,0.11599999999999999,0.156,0.059,0.0,0.11599999999999999,0.181,0.638,0.066,0.136,0.11766666666666666,0.26,0.1594,0.0876,0.024399999999999998,0.1345,0.06899999999999999,0.05084745762711865,0.1,0.0875,0.1955,0.1095,0.0,0.21481481481481482,0.1012,0.21181818181818182,0.15866666666666668,0.10714285714285714,0.0182,0.19119999999999998,0.051500000000000004,0.122,0.423,0.05450000000000001,0.019,0.22599999999999998,0.15221374045801528,0.13674157303370787,0.10880000000000001,0.08299999999999999,0.040999999999999995,0.041999999999999996,0.047,0.18947368421052632,0.17052631578947366,0.899,0.042666666666666665,0.025,0.0,0.0,0.0485,0.092,0.003,0.094,0.11599999999999999,0.0,0.04195804195804196,0.06,0.13825,0.015666666666666666,0.03975,0.22699999999999998
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34.0,1987,34,34,2983,33.1,0.012,0.027000000000000003,0.009,0.33299999999999996,0.11,0.165,0.26264044943820225,0.0,0.0,0.0,0.241875,0.20434782608695654,0.8240000000000001,0.25796296296296295,0.2503478260869565,0.102,0.095,0.899,0.32,0.3333333333333333,0.894,0.14125000000000001,0.1525,0.617,0.0,0.024,0.08166666666666668,0.012,0.0,0.09066666666666667,0.20434782608695654,0.20952380952380953,0.0755,0.24500000000000002,0.0,0.142,0.08299999999999999,0.004,0.0,0.0,0.0,0.0,0.2715384615384615,0.063,0.1325,0.26416666666666666,0.08066666666666666,0.074,0.010499999999999999,0.012,0.241875,0.03,0.0485,0.04133333333333333,0.044,0.01575,0.014,0.0,0.009,0.003,0.0,0.009,0.0015,0.0,0.0,0.003,0.0,0.0,0.0,0.0935,0.13899999999999998,0.124,0.06,0.003,0.039,0.08199999999999999,0.48100000000000004,0.041999999999999996,0.136,0.16299999999999998,0.359,0.1522,0.10279999999999999,0.0176,0.0935,0.079,0.1016949152542373,0.05450000000000001,0.1555,0.24900000000000003,0.16,0.0,0.2122222222222222,0.1656,0.29818181818181816,0.17133333333333334,0.020714285714285713,0.017,0.218,0.024,0.033,0.727,0.024,0.003,0.23800000000000002,0.15625954198473282,0.1297752808988764,0.055,0.0365,0.0,0.0225,0.0195,0.19736842105263158,0.19105263157894736,0.9690000000000001,0.012,0.015,0.015,0.0,0.065,0.0365,0.0,0.004,0.13899999999999998,0.0,0.02097902097902098,0.0,0.16924999999999998,0.06733333333333333,0.034,0.598
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22.0,2000,31,29,2462,27.4,0.008,0.033,0.009,0.278,0.06,0.1,0.2851123595505618,0.0,0.0,0.0,0.349375,0.26521739130434785,0.917,0.31891975308641973,0.16034782608695652,0.225,0.20083333333333334,0.935,0.3685714285714286,0.36266666666666664,0.9490000000000001,0.16799999999999998,0.13016666666666665,0.86,0.0,0.05500000000000001,0.09366666666666666,0.03133333333333333,0.004,0.09866666666666667,0.26521739130434785,0.28714285714285714,0.01825,0.057999999999999996,0.004,0.20074999999999998,0.04,0.024,0.0,0.0,0.0,0.0,0.4046153846153846,0.0785,0.062000000000000006,0.04016666666666667,0.35400000000000004,0.095,0.00375,0.028999999999999998,0.349375,0.014000000000000002,0.028999999999999998,0.04133333333333333,0.041999999999999996,0.0365,0.036333333333333336,0.0,0.0,0.015,0.015,0.007000000000000001,0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.10049999999999999,0.124,0.091,0.091,0.018,0.06899999999999999,0.215,0.322,0.146,0.23399999999999999,0.21766666666666667,0.27899999999999997,0.1438,0.24600000000000002,0.0788,0.0495,0.004,0.0,0.0475,0.093,0.1935,0.027500000000000004,0.0,0.2607407407407408,0.04019999999999999,0.20636363636363636,0.2786666666666667,0.07785714285714286,0.0124,0.2796,0.0495,0.0765,0.643,0.05450000000000001,0.007000000000000001,0.3566666666666667,0.1881679389312977,0.11943820224719101,0.057,0.0365,0.015,0.041999999999999996,0.073,0.30842105263157893,0.28526315789473683,0.925,0.05733333333333333,0.044,0.055,0.04895104895104896,0.08199999999999999,0.064,0.0,0.024,0.124,0.0,0.0,0.0,0.219,0.029333333333333333,0.022,0.5
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29.0,1993,34,34,2956,32.8,0.0,0.0455,0.010499999999999999,0.233,0.0,0.0,0.31741573033707865,0.0,0.0,0.0,0.254375,0.21652173913043476,0.816,0.24098765432098765,0.1791304347826087,0.163,0.15333333333333332,0.8859999999999999,0.24714285714285716,0.26133333333333336,0.879,0.15625,0.1565,0.6659999999999999,0.006,0.091,0.129,0.03866666666666666,0.018,0.13933333333333334,0.21652173913043476,0.23333333333333334,0.021249999999999998,0.064,0.018,0.23700000000000002,0.0745,0.05266666666666667,0.0015,0.0,0.0,0.0,0.28923076923076924,0.094,0.11083333333333334,0.037333333333333336,0.29266666666666663,0.0365,0.00375,0.015,0.254375,0.041999999999999996,0.027500000000000004,0.061000000000000006,0.08399999999999999,0.050249999999999996,0.049666666666666665,0.006,0.003,0.003,0.020999999999999998,0.018,0.0075,0.012,0.0,0.0,0.0,0.006,0.0,0.1785,0.223,0.149,0.17099999999999999,0.037,0.18,0.497,0.36200000000000004,0.317,0.28,0.26333333333333336,0.282,0.18539999999999998,0.306,0.0682,0.08399999999999999,0.009,0.0,0.0795,0.128,0.3065,0.017,0.0,0.22814814814814816,0.0134,0.12454545454545454,0.26866666666666666,0.08285714285714285,0.0092,0.24359999999999998,0.064,0.099,0.6459999999999999,0.067,0.009,0.3046666666666667,0.13122137404580153,0.09707865168539326,0.0574,0.056499999999999995,0.009,0.042499999999999996,0.073,0.24368421052631578,0.22631578947368422,0.93,0.062000000000000006,0.027000000000000003,0.0,0.0,0.06999999999999999,0.1035,0.003,0.05266666666666667,0.223,0.0,0.0,0.0,0.22174999999999997,0.014333333333333333,0.01075,0.5
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22.0,2000,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05217391304347826,0.33299999999999996,0.014814814814814815,0.0,0.02,0.03333333333333333,0.5,0.02857142857142857,0.08,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05217391304347826,0.05714285714285714,0.0,0.0,0.0,0.15,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.28,0.06666666666666667,0.071,0.0,0.44,0.12,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.06666666666666667,0.12857142857142856,0.12,0.096,0.0,0.0,0.0,0.0,0.0,0.12,0.0900763358778626,0.020224719101123594,0.0,0.1,0.0,0.4,0.0,0.12631578947368421,0.08421052631578947,0.667,0.13333333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,1.0
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23.0,1998,24,5,726,8.1,0.0,0.11100000000000002,0.0245,0.222,0.0,0.0,0.2191011235955056,0.0,0.0,0.0,0.06937499999999999,0.07478260869565218,0.647,0.04938271604938271,0.03539130434782609,0.0667,0.08025,0.6920000000000001,0.04414285714285714,0.06253333333333334,0.6579999999999999,0.0155,0.0205,0.5,0.012,0.099,0.028666666666666667,0.04933333333333333,0.0,0.05333333333333334,0.07478260869565218,0.0761904761904762,0.027750000000000004,0.012,0.012,0.12975,0.0125,0.016666666666666666,0.0,0.0,0.0,0.0,0.0823076923076923,0.06583333333333334,0.04116666666666667,0.02775,0.06253333333333334,0.11750000000000001,0.0,0.037,0.06937499999999999,0.05,0.031,0.020666666666666667,0.05550000000000001,0.061750000000000006,0.04933333333333333,0.0,0.0,0.012,0.025,0.062,0.0125,0.012,0.0,0.0,0.08391608391608392,0.0,0.0,0.0865,0.086,0.037,0.086,0.049,0.025,0.136,0.182,0.11100000000000002,0.235,0.16033333333333333,0.205,0.0518,0.2,0.218,0.0615,0.037,0.0,0.043,0.0495,0.136,0.043,0.0,0.12222222222222222,0.0222,0.03145454545454546,0.104,0.11142857142857143,0.0766,0.1276,0.037,0.11100000000000002,0.33299999999999996,0.043,0.012,0.12666666666666668,0.05702290076335878,0.0451685393258427,0.0518,0.0495,0.086,0.253,0.068,0.21789473684210525,0.11105263157894738,0.51,0.19766666666666666,0.037,0.0,0.0,0.11100000000000002,0.074,0.185,0.016666666666666666,0.086,0.0,0.0,0.0,0.12025,0.09066666666666667,0.12350000000000001,0.355
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19.0,2003,7,1,103,1.1,0.0,0.091,0.0,0.0,0.0,0.0,0.12078651685393257,0.0,0.0,0.0,0.0454375,0.03952173913043478,0.8,0.028055555555555556,0.017391304347826087,0.0364,0.04541666666666667,0.667,0.052000000000000005,0.04853333333333334,1.0,0.0,0.0,0.0,0.0,0.091,0.030333333333333334,0.06066666666666667,0.0,0.030333333333333334,0.03952173913043478,0.04328571428571429,0.0,0.0,0.0,0.091,0.0,0.06066666666666667,0.0,0.0,0.0,0.0,0.06292307692307691,0.015166666666666667,0.0,0.02275,0.0424,0.0,0.0,0.0,0.0454375,0.0,0.0,0.030333333333333334,0.0,0.02275,0.030333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.091,0.23600000000000002,0.12133333333333333,0.154,0.0728,0.254,0.1454,0.091,0.0,0.0,0.091,0.0455,0.0455,0.0455,0.0,0.08407407407407406,0.0364,0.016545454545454547,0.06666666666666667,0.07785714285714286,0.0546,0.09079999999999999,0.0455,0.091,0.5,0.0455,0.0,0.10933333333333332,0.04717557251908397,0.03573033707865168,0.0546,0.0,0.0,0.091,0.22749999999999998,0.1868421052631579,0.06210526315789474,0.33299999999999996,0.24233333333333332,0.0,0.0,0.0,0.091,0.0455,0.0,0.06066666666666667,0.0,0.0,0.0,0.0,0.159,0.0,0.0455,0.0
8,Tammy Abraham,ENG,FW,Roma,Serie A,24.0,1997,37,36,3084,34.3,0.1,0.1355,0.0465,0.344,0.15,0.22,0.17134831460674155,0.006,0.18,0.09,0.09125,0.08782608695652173,0.72,0.06941358024691358,0.044521739130434786,0.08689999999999999,0.095,0.762,0.05785714285714286,0.07813333333333333,0.6920000000000001,0.032,0.02666666666666667,0.8,0.012,0.10200000000000001,0.036000000000000004,0.05466666666666666,0.012,0.059333333333333335,0.08782608695652173,0.08714285714285715,0.0495,0.017,0.015,0.148,0.016,0.04666666666666666,0.0,0.0,0.0,0.0,0.09846153846153846,0.07283333333333333,0.050499999999999996,0.015333333333333334,0.094,0.096,0.00075,0.06999999999999999,0.09125,0.0,0.014499999999999999,0.034,0.034999999999999996,0.05825,0.05433333333333333,0.003,0.003,0.038,0.017,0.009,0.017499999999999998,0.015,0.0,0.003,0.06293706293706294,0.018,0.0,0.0495,0.064,0.028999999999999998,0.044,0.026000000000000002,0.028999999999999998,0.067,0.435,0.038,0.136,0.13399999999999998,0.29600000000000004,0.0268,0.1142,0.13119999999999998,0.048,0.032,0.0,0.032,0.022,0.0715,0.045,0.0,0.12,0.0192,0.023090909090909092,0.10866666666666668,0.10857142857142857,0.11720000000000001,0.1216,0.054000000000000006,0.11100000000000002,0.48700000000000004,0.056999999999999995,0.009,0.12,0.05862595419847328,0.04426966292134831,0.049,0.040999999999999995,0.067,0.11950000000000001,0.064,0.21684210526315792,0.11789473684210526,0.5429999999999999,0.22366666666666665,0.026000000000000002,0.0,0.0,0.0625,0.073,0.05,0.04666666666666666,0.064,0.003,0.02097902097902098,0.0,0.09175,0.07966666666666668,0.07225000000000001,0.45299999999999996
9,Luis Abram,PER,DF,Granada,La Liga,26.0,1996,8,6,560,6.2,0.0,0.016,0.0,0.0,0.0,0.0,0.09831460674157302,0.0,0.0,0.0,0.195625,0.15434782608695652,0.882,0.2150617283950617,0.1617391304347826,0.0677,0.06183333333333333,0.9129999999999999,0.2642857142857143,0.26666666666666666,0.927,0.14525,0.129,0.75,0.0,0.0,0.043000000000000003,0.0,0.0,0.04833333333333333,0.15434782608695652,0.1619047619047619,0.03625,0.081,0.0,0.04025,0.056499999999999995,0.0,0.0,0.0,0.0,0.0,0.2169230769230769,0.04033333333333333,0.08066666666666666,0.24333333333333332,0.023666666666666666,0.0885,0.008,0.016,0.195625,0.032,0.008,0.010666666666666666,0.008,0.012,0.005333333333333333,0.0,0.0,0.032,0.0,0.0,0.008,0.0,0.0,0.0,0.1118881118881119,0.0,0.0,0.056499999999999995,0.097,0.081,0.016,0.016,0.048,0.065,0.75,0.016,0.0565,0.07,0.371,0.0452,0.0646,0.0032,0.10500000000000001,0.081,0.5423728813559322,0.0645,0.0885,0.145,0.3145,0.032,0.1733333333333333,0.204,0.2727272727272727,0.12133333333333333,0.008071428571428571,0.016200000000000003,0.182,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.09885496183206106,0.08662921348314606,0.0226,0.0,0.0,0.016,0.0,0.15894736842105261,0.15473684210526314,0.973,0.005333333333333333,0.032,0.0,0.0,0.0405,0.0405,0.0,0.0,0.097,0.0,0.0,0.32,0.10075,0.06466666666666666,0.0605,0.444
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34.0,1988,30,29,2536,28.2,0.028000000000000004,0.028499999999999998,0.0125,0.43799999999999994,0.25,0.285,0.1292134831460674,0.0,0.0,0.0,0.401875,0.30913043478260865,0.903,0.4152777777777778,0.35643478260869565,0.201,0.18000000000000002,0.9309999999999999,0.4757142857142857,0.4706666666666666,0.9440000000000001,0.24825,0.215,0.7709999999999999,0.0,0.020999999999999998,0.14433333333333334,0.014,0.0,0.10400000000000001,0.30913043478260865,0.32666666666666666,0.063,0.22000000000000003,0.007000000000000001,0.149,0.133,0.0026666666666666666,0.0,0.0,0.0,0.0,0.40615384615384614,0.09333333333333332,0.21166666666666664,0.45083333333333336,0.08133333333333333,0.1385,0.001,0.028000000000000004,0.401875,0.008,0.039,0.028333333333333332,0.0215,0.016,0.016666666666666666,0.004,0.0,0.004,0.007000000000000001,0.0,0.0035000000000000005,0.004,0.0,0.0,0.0,0.008,0.0,0.048,0.043,0.064,0.032,0.0,0.032,0.071,0.45,0.039,0.058499999999999996,0.056666666666666664,0.29100000000000004,0.061,0.0482,0.0078000000000000005,0.08499999999999999,0.10600000000000001,0.0,0.032,0.08499999999999999,0.133,0.20400000000000001,0.008,0.29703703703703704,0.24600000000000002,0.38181818181818183,0.27599999999999997,0.016428571428571428,0.015600000000000001,0.31160000000000004,0.0055,0.007000000000000001,0.75,0.0055,0.0,0.34933333333333333,0.21740458015267178,0.18157303370786515,0.0696,0.0355,0.0,0.014000000000000002,0.0055,0.3094736842105263,0.30421052631578943,0.983,0.011666666666666665,0.007000000000000001,0.02,0.0,0.0355,0.0335,0.014000000000000002,0.0026666666666666666,0.043,0.004,0.0,0.0,0.26749999999999996,0.09466666666666666,0.04,0.64
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23.0,1998,13,1,259,2.9,0.0,0.1895,0.034499999999999996,0.182,0.0,0.0,0.22191011235955058,0.0,0.0,0.0,0.090625,0.10652173913043478,0.5920000000000001,0.06459876543209878,0.03808695652173913,0.0759,0.10083333333333333,0.629,0.08371428571428571,0.12413333333333335,0.63,0.0085,0.017166666666666667,0.33299999999999996,0.034,0.06899999999999999,0.034333333333333334,0.046,0.06899999999999999,0.034333333333333334,0.10652173913043478,0.11333333333333334,0.017249999999999998,0.0,0.0,0.22425,0.017,0.13799999999999998,0.0,0.0,0.0,0.0,0.09307692307692307,0.1035,0.1035,0.034499999999999996,0.08066666666666666,0.086,0.017249999999999998,0.034,0.090625,0.068,0.034499999999999996,0.046,0.086,0.043,0.034333333333333334,0.0,0.034,0.034,0.0,0.0,0.017,0.0,0.0,0.0,0.2377622377622378,0.0,0.0,0.034499999999999996,0.06899999999999999,0.0,0.034,0.034,0.06899999999999999,0.10300000000000001,0.667,0.034,0.23800000000000002,0.23,0.29,0.0344,0.2,0.242,0.051500000000000004,0.0,0.0,0.051500000000000004,0.0,0.034499999999999996,0.017,0.0,0.16592592592592592,0.0068000000000000005,0.025090909090909087,0.13533333333333333,0.17714285714285716,0.1242,0.178,0.06899999999999999,0.13799999999999998,0.5,0.086,0.0,0.17933333333333332,0.11503816793893129,0.10808988764044944,0.1104,0.1035,0.172,0.27599999999999997,0.13799999999999998,0.3010526315789474,0.1831578947368421,0.608,0.35666666666666663,0.0,0.0,0.0,0.1035,0.13799999999999998,0.207,0.13799999999999998,0.06899999999999999,0.0,0.0,0.0,0.12925,0.23,0.09475,0.645
12,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20.0,2002,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.21739130434782608,0.6,0.15123456790123457,0.0,0.1,0.08333333333333333,1.0,0.2857142857142857,0.26666666666666666,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.23809523809523808,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.1875,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6666666666666666,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.18518518518518517,0.0,0.09090909090909091,0.2,0.14285714285714285,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.1297709923664122,0.11235955056179775,0.2,0.5,0.0,0.0,0.0,0.2631578947368421,0.21052631578947367,0.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
13,Marcos Acuña,ARG,DF,Sevilla,La Liga,30.0,1991,31,26,2260,25.1,0.008,0.034,0.01,0.294,0.06,0.1,0.3103932584269663,0.004,0.0,0.0,0.38937499999999997,0.34130434782608693,0.794,0.39608024691358024,0.4145217391304348,0.235,0.21083333333333334,0.9309999999999999,0.38857142857142857,0.4266666666666667,0.8490000000000001,0.275,0.315,0.58,0.012,0.16299999999999998,0.13666666666666666,0.11133333333333333,0.092,0.16333333333333336,0.34130434782608693,0.3109523809523809,0.32999999999999996,0.23900000000000002,0.012,0.16924999999999998,0.211,0.32933333333333337,0.0795,0.0026666666666666666,0.23199999999999998,0.027972027972027975,0.3546153846153846,0.20666666666666667,0.335,0.4875,0.05126666666666667,0.0935,0.22999999999999998,0.02,0.38937499999999997,0.048,0.057999999999999996,0.08233333333333334,0.08149999999999999,0.06575,0.05566666666666666,0.064,0.004,0.012,0.016,0.0,0.006,0.004,0.04790419161676647,0.0,0.0,0.0,0.0,0.1155,0.155,0.131,0.06,0.04,0.08399999999999999,0.13899999999999998,0.6,0.05600000000000001,0.11699999999999999,0.13266666666666665,0.34,0.106,0.09480000000000001,0.0334,0.0715,0.016,0.0,0.0635,0.062,0.1775,0.06,0.0,0.32592592592592595,0.055,0.25,0.2753333333333333,0.18285714285714286,0.0184,0.3024,0.0895,0.1295,0.6920000000000001,0.0955,0.012,0.39599999999999996,0.22358778625954195,0.2004494382022472,0.1274,0.10149999999999999,0.024,0.052000000000000005,0.054000000000000006,0.3268421052631579,0.31157894736842107,0.953,0.08766666666666666,0.04,0.0,0.0,0.08149999999999999,0.1075,0.0,0.32933333333333337,0.155,0.0,0.027972027972027975,0.0,0.223,0.043666666666666666,0.03675,0.47100000000000003
14,Che Adams,SCO,FW,Southampton,Premier League,25.0,1996,30,23,2039,22.7,0.062,0.10800000000000001,0.053000000000000005,0.49,0.14,0.145,0.18117977528089887,0.0,0.0,0.0,0.0925,0.09260869565217392,0.696,0.0717283950617284,0.041652173913043475,0.0824,0.08833333333333333,0.779,0.06357142857142857,0.07933333333333334,0.748,0.033,0.03883333333333334,0.5660000000000001,0.013000000000000001,0.11499999999999999,0.03233333333333333,0.038,0.004,0.051333333333333335,0.09260869565217392,0.0980952380952381,0.017499999999999998,0.0,0.018,0.151,0.022,0.032,0.0,0.0,0.0,0.0,0.10384615384615385,0.07266666666666667,0.05733333333333333,0.016166666666666666,0.10266666666666667,0.0615,0.001,0.06999999999999999,0.0925,0.018,0.022,0.03833333333333333,0.0685,0.05625,0.05,0.0,0.004,0.018,0.048,0.004,0.009,0.013000000000000001,0.0,0.0,0.0,0.0,0.056338028169014086,0.034999999999999996,0.04,0.018,0.026000000000000002,0.026000000000000002,0.009,0.066,0.133,0.056999999999999995,0.146,0.12766666666666668,0.262,0.0334,0.1162,0.14279999999999998,0.05500000000000001,0.018,0.0,0.0465,0.022,0.057499999999999996,0.033,0.0,0.12481481481481482,0.023799999999999998,0.03727272727272727,0.09733333333333333,0.11785714285714285,0.0898,0.132,0.031,0.0725,0.424,0.0375,0.0,0.13933333333333334,0.0633587786259542,0.04123595505617978,0.0406,0.0375,0.048,0.1145,0.1055,0.2373684210526316,0.1257894736842105,0.529,0.235,0.0,0.0,0.0,0.0685,0.1035,0.031,0.032,0.04,0.0,0.0,0.0,0.13225,0.08233333333333334,0.12225,0.335
15,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23.0,1999,24,12,1351,15.0,0.0,0.006500000000000001,0.0,0.0,0.0,0.0,0.2724719101123595,0.0,0.0,0.0,0.32999999999999996,0.2647826086956522,0.867,0.26959876543209876,0.18930434782608693,0.265,0.24166666666666667,0.9129999999999999,0.28428571428571425,0.296,0.898,0.12175,0.11216666666666668,0.723,0.007000000000000001,0.053000000000000005,0.16433333333333333,0.04466666666666667,0.0,0.13766666666666666,0.2647826086956522,0.2776190476190476,0.06675,0.16699999999999998,0.007000000000000001,0.2525,0.02,0.013333333333333334,0.0,0.0,0.0,0.0,0.36769230769230765,0.0955,0.12333333333333334,0.07225,0.312,0.14350000000000002,0.02325,0.027000000000000003,0.32999999999999996,0.054000000000000006,0.03,0.05333333333333334,0.0735,0.041749999999999995,0.051000000000000004,0.0,0.007000000000000001,0.007000000000000001,0.0,0.0,0.013500000000000002,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,0.0865,0.10700000000000001,0.04,0.11299999999999999,0.02,0.053000000000000005,0.187,0.28600000000000003,0.133,0.217,0.23099999999999998,0.32,0.1186,0.264,0.0506,0.1065,0.007000000000000001,0.0,0.1035,0.0765,0.1635,0.0665,0.014000000000000002,0.26296296296296295,0.038599999999999995,0.13818181818181818,0.3193333333333333,0.0907142857142857,0.0174,0.274,0.0335,0.056499999999999995,0.588,0.0335,0.0,0.32,0.17526717557251908,0.13112359550561797,0.1014,0.0635,0.02,0.0335,0.056499999999999995,0.28157894736842104,0.26,0.924,0.04,0.033,0.0,0.0,0.0665,0.06,0.0,0.013333333333333334,0.10700000000000001,0.0,0.0,0.0,0.265,0.051000000000000004,0.02,0.657
16,Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,29.0,1993,13,2,331,3.7,0.054000000000000006,0.0405,0.027000000000000003,0.667,0.33,0.25,0.2345505617977528,0.0,0.0,0.0,0.123125,0.11521739130434783,0.745,0.09626543209876542,0.07026086956521739,0.10300000000000001,0.10166666666666666,0.8440000000000001,0.112,0.13733333333333334,0.763,0.03375,0.036000000000000004,0.625,0.0,0.10800000000000001,0.045000000000000005,0.07200000000000001,0.054000000000000006,0.081,0.11521739130434783,0.11952380952380953,0.03375,0.0,0.0,0.1825,0.0,0.10800000000000001,0.0,0.0,0.0,0.0,0.13692307692307693,0.058499999999999996,0.08566666666666665,0.04283333333333333,0.106,0.0945,0.03375,0.081,0.123125,0.0,0.0405,0.045000000000000005,0.0945,0.07425000000000001,0.07200000000000001,0.0,0.054000000000000006,0.0,0.0,0.027000000000000003,0.013500000000000002,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,0.1755,0.21600000000000003,0.21600000000000003,0.10800000000000001,0.027000000000000003,0.135,0.351,0.385,0.21600000000000003,0.21899999999999997,0.24333333333333332,0.33299999999999996,0.09179999999999999,0.222,0.1244,0.0675,0.0,0.0,0.0675,0.0405,0.21600000000000003,0.027000000000000003,0.0,0.15333333333333332,0.0216,0.06636363636363636,0.12066666666666667,0.12714285714285714,0.06480000000000001,0.16,0.081,0.12150000000000001,0.667,0.081,0.027000000000000003,0.18733333333333335,0.10396946564885495,0.06280898876404495,0.06480000000000001,0.013500000000000002,0.0,0.162,0.1755,0.2163157894736842,0.1363157894736842,0.632,0.21633333333333335,0.0,0.0,0.0,0.081,0.12150000000000001,0.10800000000000001,0.10800000000000001,0.21600000000000003,0.0,0.0,0.0,0.17575000000000002,0.045000000000000005,0.08775,0.278
